"theta";"mu";"sigma";"MaxPStrat";"MaxMStrat"
51;0,05;0,11;107,621185985716;115,409888292643
52;0,05;0,11;107,508288029567;116,126942768254
53;0,05;0,11;107,186503595875;115,646251114543
54;0,05;0,11;106,817693883542;115,556786794356
55;0,05;0,11;106,639815073954;118,521356642114
50;0,06;0,11;107,455859881073;115,580784355971
51;0,06;0,11;107,097155274635;117,355823482294
52;0,06;0,11;106,976763222215;115,622779043637
53;0,06;0,11;106,408059243161;115,866364208414
54;0,06;0,11;106,723240263367;115,138950206169
55;0,06;0,11;106,420126862129;115,953548621517
50;0,07;0,11;107,253524278137;113,714571272684
51;0,07;0,11;107,610835814447;114,689897688631
52;0,07;0,11;106,651689347106;116,824374525309
53;0,07;0,11;107,299088392288;116,216534480384
54;0,07;0,11;107,168152498217;116,337946920485
55;0,07;0,11;106,509390979996;116,065069752499
50;0,08;0,11;107,67161808725;116,160484192881
51;0,08;0,11;107,594712581588;115,283728292047
52;0,08;0,11;107,303582145833;118,003803021453
53;0,08;0,11;107,06697985661;118,536633223039
54;0,08;0,11;106,760650476755;114,184124936359
55;0,08;0,11;106,98436432845;115,292038285107
50;0,09;0,11;107,770554690635;113,122357073029
51;0,09;0,11;107,555732902293;115,937477659884
52;0,09;0,11;106,788400133998;117,404845659921
53;0,09;0,11;106,766595093642;116,680717406869
54;0,09;0,11;106,619080380552;120,157066501493
55;0,09;0,11;106,819826706762;116,193879582833
50;0,1;0,11;107,689575960976;112,89858972198
51;0,1;0,11;107,826145709391;116,383038083199
52;0,1;0,11;107,66768889144;113,836091555287
53;0,1;0,11;106,81802587006;116,901834659418
54;0,1;0,11;107,106674977613;112,721390476277
55;0,1;0,11;106,838899035884;117,110462389849
50;0,01;0,12;107,137325071728;116,969854557095
51;0,01;0,12;107,075152928525;116,512131563737
52;0,01;0,12;106,929314402236;117,405077903534
53;0,01;0,12;106,94209547352;115,380851066702
54;0,01;0,12;107,193229866565;117,393627448135
55;0,01;0,12;106,572460338891;116,942049634345
50;0,02;0,12;107,708189488782;116,196269743293
51;0,02;0,12;107,084738046954;116,249384102106
52;0,02;0,12;107,433114540572;118,119979452798
53;0,02;0,12;106,594947662039;118,618587203893
54;0,02;0,12;106,677967518879;115,766726093608
55;0,02;0,12;106,827161663252;117,5089394836
50;0,03;0,12;107,474883477415;116,513682581421
51;0,03;0,12;107,147719210654;118,552635449824
52;0,03;0,12;107,291428204832;118,439019109302
53;0,03;0,12;106,824032886754;118,692318103954
54;0,03;0,12;106,996743121846;116,614187354214
55;0,03;0,12;106,943185986376;115,223399080296
50;0,04;0,12;107,222675669598;115,520768111264
51;0,04;0,12;107,724880347982;117,772538583798
52;0,04;0,12;106,942602588156;117,988019311169
53;0,04;0,12;107,526142441086;116,085163560238
54;0,04;0,12;106,562253981805;119,186128179877
55;0,04;0,12;107,207384244968;118,440161454153
50;0,05;0,12;106,826194099689;116,303642137304
51;0,05;0,12;107,698594472235;119,146754358691
52;0,05;0,12;106,943726525495;118,825278202849
53;0,05;0,12;106,972210426192;115,93451739333
54;0,05;0,12;107,182733743594;117,092520807118
55;0,05;0,12;106,907611587616;117,285298073753
50;0,06;0,12;107,596120598375;119,345683499539
51;0,06;0,12;107,201293802822;115,355230899909
52;0,06;0,12;106,940595908521;117,681761466433
53;0,06;0,12;107,294077015288;120,722078722316
54;0,06;0,12;107,605510297571;119,341205390978
55;0,06;0,12;106,856659278048;117,678644990266
50;0,07;0,12;106,860749473481;117,104251725884
51;0,07;0,12;107,079039091294;117,112671885857
52;0,07;0,12;107,2117809869;113,885898953009
53;0,07;0,12;106,751741587521;117,011765326891
54;0,07;0,12;107,161213679424;115,340907255728
55;0,07;0,12;107,124410744101;118,224830334544
50;0,08;0,12;107,956258327422;115,001991088659
51;0,08;0,12;107,955540213202;118,70202653713
52;0,08;0,12;107,421711666884;113,430210321325
53;0,08;0,12;107,35869562538;115,833237453229
54;0,08;0,12;106,689350281996;117,198672040917
55;0,08;0,12;106,986768169704;118,001191398352
50;0,09;0,12;107,902570865598;119,302050930244
51;0,09;0,12;107,447022345375;117,611059484015
52;0,09;0,12;107,000892222081;118,391378527182
53;0,09;0,12;107,225885917316;118,673257268031
54;0,09;0,12;107,595284414558;121,527035457288
55;0,09;0,12;107,69403216197;118,718995664794
50;0,1;0,12;107,365974485254;114,435267115897
51;0,1;0,12;107,62635741001;116,485221792766
52;0,1;0,12;107,355801326057;115,685693277597
53;0,1;0,12;106,970253409089;117,303717030669
54;0,1;0,12;107,359254590917;118,360997054703
55;0,1;0,12;107,629996340546;122,769797501408
50;0,01;0,13;107,055812240383;120,287020493296
51;0,01;0,13;107,512931597435;118,963338622362
52;0,01;0,13;107,016425206096;119,871462748877
53;0,01;0,13;107,602943378569;119,134801291068
54;0,01;0,13;106,978276619384;120,627908912988
55;0,01;0,13;107,448848152654;118,405292259698
50;0,02;0,13;108,103119743395;119,765461666092
51;0,02;0,13;107,695654628388;122,149647374271
52;0,02;0,13;107,125558197801;118,009858141556
53;0,02;0,13;108,544620583339;120,579478053093
54;0,02;0,13;107,303387510933;117,370067788191
55;0,02;0,13;107,53987275872;118,607875968758
50;0,03;0,13;106,839819391846;119,594535163416
51;0,03;0,13;107,193493287545;120,741094677208
52;0,03;0,13;107,283896061458;117,486993093733
53;0,03;0,13;107,46122499211;120,212277676373
54;0,03;0,13;107,00149447368;118,421492697276
55;0,03;0,13;107,366508134099;118,755425787227
50;0,04;0,13;107,758294427577;120,900049947372
51;0,04;0,13;107,089873638403;117,808997897235
52;0,04;0,13;107,882885086059;118,532619741058
53;0,04;0,13;107,183310123403;116,403795050175
54;0,04;0,13;107,447192219183;116,720146398736
55;0,04;0,13;106,934252326772;117,942927598529
50;0,05;0,13;107,996139781071;117,082800437952
51;0,05;0,13;108,473816080347;120,41521367289
52;0,05;0,13;107,112847352179;118,259839786768
53;0,05;0,13;107,715208558309;118,639410839836
54;0,05;0,13;107,321875252794;116,997811767077
55;0,05;0,13;107,210965653555;113,300203539338
50;0,06;0,13;107,857663198683;117,321313712289
51;0,06;0,13;106,987771255427;119,806278158366
52;0,06;0,13;107,83227702476;116,586619507028
53;0,06;0,13;108,220592181812;116,942246866401
54;0,06;0,13;107,148895304874;120,871994674846
55;0,06;0,13;107,432536784854;121,052429746226
50;0,07;0,13;107,922870455411;123,644915386821
51;0,07;0,13;107,543977592817;117,954550269673
52;0,07;0,13;108,280248538315;115,254555542687
53;0,07;0,13;107,35289595914;120,22641198905
54;0,07;0,13;106,983713495665;118,053161163944
55;0,07;0,13;107,363341223095;123,347394225904
50;0,08;0,13;107,959455489387;117,792041723407
51;0,08;0,13;107,412830439548;124,264388089623
52;0,08;0,13;107,312286828737;119,832962640828
53;0,08;0,13;107,252853186516;117,880232449024
54;0,08;0,13;107,10436047725;118,986582396844
55;0,08;0,13;107,602230268066;119,0122232452
50;0,09;0,13;107,424924134549;117,952850782095
51;0,09;0,13;107,333967933;121,33858878046
52;0,09;0,13;107,337471104811;118,648032587095
53;0,09;0,13;108,067492803218;117,117270705946
54;0,09;0,13;107,368348862682;118,814796324409
55;0,09;0,13;107,141610083853;121,295724507358
50;0,1;0,13;108,75874171768;120,489513330231
51;0,1;0,13;108,014288967552;118,520814794485
52;0,1;0,13;107,65167367117;121,904890069825
53;0,1;0,13;107,547640112835;116,787455401453
54;0,1;0,13;107,408452263905;121,787260284439
55;0,1;0,13;107,20648251452;118,330624377327
50;0,01;0,14;108,081144289425;120,184111110536
51;0,01;0,14;107,891331440242;121,02276092817
52;0,01;0,14;107,858146802585;120,178203340563
53;0,01;0,14;106,995810470023;117,426581820171
54;0,01;0,14;107,137615404783;118,169217358699
55;0,01;0,14;106,89664895571;119,942658942056
50;0,02;0,14;109,468980799636;121,318435005811
51;0,02;0,14;107,378224806888;117,562900321562
52;0,02;0,14;107,049796784149;121,759145850907
53;0,02;0,14;108,637085826598;117,792544936351
54;0,02;0,14;107,351794185925;119,960320432733
55;0,02;0,14;106,784667391726;122,083333842313
50;0,03;0,14;108,076055828966;124,52124027896
51;0,03;0,14;107,901179046;121,245891717534
52;0,03;0,14;107,140982337191;124,673657425585
53;0,03;0,14;106,763346869857;122,105128359249
54;0,03;0,14;107,439632629045;120,265658256539
55;0,03;0,14;107,037612434174;119,145848875519
50;0,04;0,14;108,24374884775;122,356934341172
51;0,04;0,14;107,574144972441;124,426001814839
52;0,04;0,14;108,270522391901;125,89682969616
53;0,04;0,14;107,290308059165;119,219943523719
54;0,04;0,14;107,291353216703;122,730508711229
55;0,04;0,14;107,43926491215;118,787644465047
50;0,05;0,14;108,28144118752;123,951028480599
51;0,05;0,14;108,129291922258;124,2040643919
52;0,05;0,14;108,258195174973;123,22271289123
53;0,05;0,14;107,789901013825;122,613432948595
54;0,05;0,14;107,356070841074;118,587561141043
55;0,05;0,14;107,699825236919;118,698908432658
50;0,06;0,14;108,408685096379;122,252743119836
51;0,06;0,14;108,066675691978;121,238409939961
52;0,06;0,14;107,912115510028;117,231141339423
53;0,06;0,14;107,912919859389;118,961401263258
54;0,06;0,14;107,295063521777;117,910720658104
55;0,06;0,14;106,870214238258;118,601582900844
50;0,07;0,14;108,011174403424;124,043963925617
